2026-06-16 06:00:00 | Battery  | INFO     | Charge current: 23.4A
2026-06-16 06:00:48 | Battery  | INFO     | SOC reading: 81.1%
2026-06-16 06:01:19 | Battery  | INFO     | Charge current: 15.2A
2026-06-16 06:02:03 | Battery  | INFO     | Voltage measured: 400.4V
2026-06-16 06:02:44 | Battery  | INFO     | SOC reading: 28.5%
2026-06-16 06:03:25 | Battery  | INFO     | SOC reading: 62.7%
2026-06-16 06:04:00 | Inverter | INFO     | Grid frequency: 50.01 Hz
2026-06-16 06:04:29 | Inverter | INFO     | AC output: 102.7 kW
2026-06-16 06:05:04 | Battery  | INFO     | SOC reading: 83.8%
2026-06-16 06:05:41 | Battery  | INFO     | Discharge current: 58.1A
2026-06-16 06:06:27 | Battery  | INFO     | Charge current: 82.6A
2026-06-16 06:07:00 | Battery  | INFO     | SOC reading: 63.1%
2026-06-16 06:07:34 | Battery  | INFO     | Charge current: 58.7A
2026-06-16 06:08:04 | Inverter | INFO     | AC output: 137.8 kW
2026-06-16 06:08:47 | Inverter | INFO     | Grid frequency: 49.99 Hz
2026-06-16 06:09:25 | Battery  | INFO     | Discharge current: 92.2A
2026-06-16 06:10:04 | Battery  | INFO     | Voltage measured: 445.0V
2026-06-16 06:10:54 | Thermal  | INFO     | Temperature reading: 22.5°C
2026-06-16 06:11:31 | Inverter | INFO     | AC output: 178.3 kW
2026-06-16 06:12:22 | Battery  | INFO     | Discharge current: 64.2A
2026-06-16 06:12:52 | Battery  | INFO     | SOC reading: 52.1%
2026-06-16 06:13:44 | Battery  | INFO     | Charge current: 93.1A
2026-06-16 06:14:25 | Battery  | INFO     | SOC reading: 70.1%
2026-06-16 06:15:17 | Inverter | INFO     | AC output: 164.7 kW
2026-06-16 06:15:55 | Battery  | INFO     | Charge current: 41.2A
2026-06-16 06:16:38 | Inverter | INFO     | AC output: 112.1 kW
2026-06-16 06:17:08 | BMS      | INFO     | Max cell voltage diff: 0.03V
2026-06-16 06:17:57 | Battery  | INFO     | SOC reading: 74.6%
2026-06-16 06:18:34 | Inverter | INFO     | Grid frequency: 50.05 Hz
2026-06-16 06:19:16 | Battery  | INFO     | Voltage measured: 419.3V
2026-06-16 06:20:05 | Battery  | INFO     | Charge current: 93.7A
2026-06-16 06:20:44 | Battery  | INFO     | SOC reading: 30.4%
2026-06-16 06:21:13 | Battery  | INFO     | Voltage measured: 413.1V
2026-06-16 06:22:04 | Battery  | INFO     | Voltage measured: 419.6V
2026-06-16 06:22:47 | Battery  | INFO     | SOC reading: 54.3%

