Timestamp,SOC (%),Power (MW),Frequency Regulation Signal (Hz),Operational Mode,Market Price (GBP/MWh)
2024-01-01 00:00:00,79.05,7.64,50.045,Frequency Regulation,40.74
2024-01-01 00:15:00,78.85,1.57,50.031,Frequency Regulation,41.31
2024-01-01 00:30:00,78.56,2.34,50.132,Frequency Regulation,56.75
2024-01-01 00:45:00,79.0,-3.54,49.949,Frequency Regulation,53.38
2024-01-01 01:00:00,83.96,-39.71,50.049,Energy Arbitrage,66.71
2024-01-01 01:15:00,89.4,-43.51,50.037,Energy Arbitrage,78.09
2024-01-01 01:30:00,90.0,-4.79,49.943,Energy Arbitrage,44.93
2024-01-01 01:45:00,90.0,-0.0,50.006,Energy Arbitrage,63.88
2024-01-01 02:00:00,90.0,-0.0,50.035,Energy Arbitrage,55.04
2024-01-01 02:15:00,90.0,-0.0,50.012,Energy Arbitrage,42.65
2024-01-01 02:30:00,90.0,-0.0,49.991,Energy Arbitrage,39.31
2024-01-01 02:45:00,90.0,-0.0,49.953,Energy Arbitrage,47.59
2024-01-01 03:00:00,90.0,-0.0,49.998,Energy Arbitrage,85.4
2024-01-01 03:15:00,90.0,-0.0,49.958,Energy Arbitrage,52.01
2024-01-01 03:30:00,90.0,-0.0,50.019,Energy Arbitrage,54.26
2024-01-01 03:45:00,90.0,-0.0,50.057,Energy Arbitrage,40.51
2024-01-01 04:00:00,90.0,-0.0,49.975,Energy Arbitrage,77.8
2024-01-01 04:15:00,90.0,-0.0,50.106,Energy Arbitrage,66.44
2024-01-01 04:30:00,90.0,-0.0,49.994,Energy Arbitrage,74.74
2024-01-01 04:45:00,90.0,-0.0,49.937,Energy Arbitrage,52.58
2024-01-01 05:00:00,88.96,8.35,50.056,Frequency Regulation,81.19
2024-01-01 05:15:00,89.53,-4.57,49.94,Frequency Regulation,76.84
2024-01-01 05:30:00,88.86,5.35,50.025,Frequency Regulation,86.62
2024-01-01 05:45:00,88.98,-0.95,50.138,Frequency Regulation,98.03
2024-01-01 06:00:00,89.81,-6.64,50.181,Frequency Regulation,106.37
2024-01-01 06:15:00,89.99,-1.43,49.953,Frequency Regulation,97.82
2024-01-01 06:30:00,88.93,8.48,50.093,Frequency Regulation,114.68
2024-01-01 06:45:00,88.06,6.93,49.904,Frequency Regulation,124.11
2024-01-01 07:00:00,82.6,43.67,50.049,Peak Shaving,130.11
2024-01-01 07:15:00,76.87,45.83,49.982,Peak Shaving,123.33
2024-01-01 07:30:00,71.58,42.36,50.038,Peak Shaving,138.54
2024-01-01 07:45:00,67.68,31.17,50.037,Peak Shaving,127.03
2024-01-01 08:00:00,63.44,33.89,50.035,Peak Shaving,165.42
2024-01-01 08:15:00,58.79,37.25,49.971,Peak Shaving,117.76
2024-01-01 08:30:00,53.89,39.19,49.985,Peak Shaving,161.14
2024-01-01 08:45:00,49.83,32.47,49.976,Peak Shaving,140.05
2024-01-01 09:00:00,45.58,33.99,49.95,Peak Shaving,159.35
2024-01-01 09:15:00,39.95,45.05,50.076,Peak Shaving,131.03
2024-01-01 09:30:00,34.44,44.12,50.116,Peak Shaving,127.13
2024-01-01 09:45:00,30.48,31.66,49.968,Peak Shaving,88.05
2024-01-01 10:00:00,31.07,-4.71,50.074,Frequency Regulation,139.22
2024-01-01 10:15:00,30.34,5.83,49.911,Frequency Regulation,85.55
2024-01-01 10:30:00,31.07,-5.84,49.943,Frequency Regulation,72.26
2024-01-01 10:45:00,31.68,-4.89,49.955,Frequency Regulation,75.53
2024-01-01 11:00:00,31.42,2.06,49.914,Frequency Regulation,47.94
2024-01-01 11:15:00,32.09,-5.33,50.263,Frequency Regulation,61.88
2024-01-01 11:30:00,32.21,-0.98,50.01,Frequency Regulation,72.34
2024-01-01 11:45:00,32.51,-2.36,50.028,Frequency Regulation,66.76
2024-01-01 12:00:00,36.39,-31.07,49.988,Peak Shaving,53.21
2024-01-01 12:15:00,40.79,-35.2,49.911,Peak Shaving,78.6
2024-01-01 12:30:00,44.29,-27.96,49.938,Peak Shaving,50.5
2024-01-01 12:45:00,49.13,-38.74,50.002,Peak Shaving,56.2
2024-01-01 13:00:00,52.42,-26.3,49.878,Peak Shaving,46.29
2024-01-01 13:15:00,56.94,-36.23,49.957,Peak Shaving,46.29
2024-01-01 13:30:00,60.33,-27.05,50.174,Peak Shaving,38.01
2024-01-01 13:45:00,65.15,-38.6,49.977,Peak Shaving,38.59
2024-01-01 14:00:00,69.79,-37.11,49.922,Peak Shaving,53.05
2024-01-01 14:15:00,74.24,-35.59,49.976,Peak Shaving,63.16
2024-01-01 14:30:00,78.22,-31.84,49.941,Peak Shaving,73.33
2024-01-01 14:45:00,82.47,-34.02,49.903,Peak Shaving,63.87
2024-01-01 15:00:00,82.28,1.49,49.917,Frequency Regulation,53.63
2024-01-01 15:15:00,81.97,2.51,49.969,Frequency Regulation,61.2
2024-01-01 15:30:00,81.46,4.11,49.99,Frequency Regulation,95.27
2024-01-01 15:45:00,81.27,1.46,50.126,Frequency Regulation,58.4
2024-01-01 16:00:00,82.21,-7.49,50.084,Frequency Regulation,55.9
2024-01-01 16:15:00,81.98,1.82,49.97,Frequency Regulation,90.22
2024-01-01 16:30:00,81.54,3.57,50.01,Frequency Regulation,86.38
2024-01-01 16:45:00,80.59,7.57,50.003,Frequency Regulation,81.83
2024-01-01 17:00:00,81.04,-3.58,50.018,Frequency Regulation,118.76
2024-01-01 17:15:00,81.78,-5.95,49.927,Frequency Regulation,121.9
2024-01-01 17:30:00,81.91,-1.05,49.902,Frequency Regulation,168.04
2024-01-01 17:45:00,81.54,2.99,49.933,Frequency Regulation,163.77
2024-01-01 18:00:00,75.68,46.9,50.05,Energy Arbitrage,160.87
2024-01-01 18:15:00,70.66,40.15,49.947,Energy Arbitrage,204.93
2024-01-01 18:30:00,66.14,36.18,49.978,Energy Arbitrage,135.42
2024-01-01 18:45:00,60.19,47.58,50.002,Energy Arbitrage,102.16
2024-01-01 19:00:00,55.39,38.43,49.881,Energy Arbitrage,135.53
2024-01-01 19:15:00,50.59,38.4,50.048,Energy Arbitrage,159.59
2024-01-01 19:30:00,45.08,44.01,50.05,Energy Arbitrage,143.55
2024-01-01 19:45:00,39.16,47.43,50.002,Energy Arbitrage,108.55
2024-01-01 20:00:00,34.76,35.19,49.994,Energy Arbitrage,142.22
2024-01-01 20:15:00,30.42,34.66,50.02,Energy Arbitrage,147.92
2024-01-01 20:30:00,25.56,38.94,49.937,Energy Arbitrage,93.24
2024-01-01 20:45:00,21.03,36.17,49.991,Energy Arbitrage,91.04
